City_ID,City,Country,Max_Temp,Current_Description,Lat,Lng,Hotel Name
0,Bontang,ID,76.56800000000004,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
4,Esperance,AU,72.75200000000001,overcast clouds,-33.8667,121.9,Hospitality Esperance
10,Puerto Ayora,EC,76.964,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,George Town,MY,78.72800000000001,moderate rain,5.4112,100.3354,Cititel Penang
18,Rikitea,PF,76.38799999999998,clear sky,-23.1203,-134.9692,People ThankYou
21,Saldanha,ZA,69.85399999999998,broken clouds,-33.0117,17.9442,Blue Bay Lodge
26,Ballina,AU,66.38000000000005,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
29,Marsh Harbour,BS,72.464,broken clouds,26.5412,-77.0636,Abaco Beach Resort
30,Isangel,VU,77.44999999999999,moderate rain,-19.55,169.2667,Tanna Lodge
33,Bogo,PH,78.656,broken clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
36,Taoudenni,ML,75.97399999999999,few clouds,22.6783,-3.9836,
39,Mount Isa,AU,76.76600000000002,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
40,Cape Town,ZA,66.73999999999995,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
46,Ponta Do Sol,PT,65.03000000000003,scattered clouds,32.6667,-17.1,Hotel do Campo
52,Port Alfred,ZA,67.31599999999997,scattered clouds,-33.5906,26.891,The Halyards Hotel
53,Padang,ID,77.95400000000001,overcast clouds,-0.9492,100.3543,Mercure Padang
58,Ambanja,MG,76.94599999999997,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
60,Sambava,MG,77.12600000000003,moderate rain,-14.2667,50.1667,Melrose
64,Vaini,TO,75.36200000000002,few clouds,-21.2,-175.2,Keleti Beach Resort
65,Kahului,US,70.86200000000002,few clouds,20.8947,-156.47,Maui Seaside Hotel
66,Watsa,CD,65.38999999999993,moderate rain,3.0372,29.5355,Hôtel Le Pacifique
70,Meiganga,CM,76.06400000000002,overcast clouds,6.5167,14.3,DFR HOUSE
78,Uyuni,BO,68.25200000000001,broken clouds,-20.4597,-66.825,Hostal La Magia de Uyuni
79,Bredasdorp,ZA,67.53199999999998,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
84,Rio Grande,BR,77.108,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
97,Atuona,PF,78.2419999999999,clear sky,-9.8,-139.0333,Villa Enata
98,Kapaa,US,66.52399999999994,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Nago,JP,71.67199999999997,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
105,Port Elizabeth,ZA,66.488,clear sky,-33.918,25.5701,39 On Nile Guest House
108,Port Shepstone,ZA,72.08600000000007,few clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
110,Kruisfontein,ZA,65.03000000000003,clear sky,-34.0033,24.7314,Oyster Bay House Rental
114,Kirakira,SB,79.41199999999998,scattered clouds,-10.4544,161.9205,SanBiz Lodge
117,Le Port,RE,76.99999999999994,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
119,Sao Luiz Gonzaga,BR,71.02399999999994,moderate rain,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
120,Rio Cuarto,AR,74.96599999999995,broken clouds,-33.1307,-64.3499,Grand Hotel Río Cuarto
121,Pemba,MZ,79.50200000000001,few clouds,-12.974,40.5178,Guesthouse Samotina
122,Tiarei,PF,78.81800000000004,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
124,Matara,LK,76.65799999999996,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
127,Saint-Philippe,RE,76.58600000000007,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
130,Bengkulu,ID,76.49600000000004,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Barmer,IN,73.07600000000008,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
140,Chuy,UY,70.96999999999997,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
145,Poum,NC,79.37600000000003,broken clouds,-20.2333,164.0167,Gîte kajeon
147,Ambilobe,MG,76.69400000000002,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
151,Nouadhibou,MR,75.18199999999996,sand,20.931,-17.0347,El Medina
157,Omboue,GA,78.69199999999995,light rain,-1.5746,9.2618,Hotel Olako
164,Mgandu,TZ,74.83999999999997,broken clouds,-5.95,34.1333,
168,Yeppoon,AU,74.98399999999998,clear sky,-23.1333,150.7333,Villa Mar Colina
169,Avarua,CK,69.85399999999998,few clouds,-21.2078,-159.775,Paradise Inn
172,Ewo,CG,79.358,overcast clouds,-0.8725,14.8206,Residence Elonda Ewo
174,Vao,NC,75.57800000000003,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
178,Cidreira,BR,76.22600000000006,overcast clouds,-30.1811,-50.2056,Hotel Castelo
184,Dwarka,IN,78.83600000000007,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
187,Gold Coast,AU,66.27199999999999,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
191,Carnarvon,AU,77.07199999999995,clear sky,-24.8667,113.6333,Hospitality Carnarvon
194,Mackay,AU,78.06200000000007,moderate rain,-21.15,149.2,International Lodge Motel
201,Faya,SA,66.30799999999994,clear sky,18.3851,42.4509,املاك خالد الشعشوع
205,Mahebourg,MU,77.28799999999995,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
207,Hilo,US,69.53000000000003,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
221,Marawi,PH,68.55799999999994,broken clouds,7.9986,124.2928,Derogongan Residence
222,Marsa Matruh,EG,69.99799999999999,clear sky,31.3525,27.2453,Beau Site
226,Colesberg,ZA,70.214,scattered clouds,-30.72,25.0972,Bhelekazi Guesthouse
227,Cockburn Town,TC,76.964,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
233,San Patricio,US,65.084,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
236,Luganville,VU,77.28799999999995,clear sky,-15.5333,167.1667,The Espiritu Hotel
243,East London,ZA,68.93599999999998,clear sky,-33.0153,27.9116,Tu Casa
