City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Current_Description,Country,Date
47,Mar Del Plata,-38.0023,-57.5575,64.00399999999996,92,100,5.91,light rain,AR,2021-11-28 17:13:34
48,Hermanus,-34.4187,19.2345,64.76000000000005,82,64,5.32,broken clouds,ZA,2021-11-28 17:13:34
49,Itapaci,-14.9508,-49.5494,86.32400000000001,57,30,4.15,scattered clouds,BR,2021-11-28 17:13:35
50,Thompson,55.7435,-97.8558,4.387999999999977,82,67,2.33,broken clouds,CA,2021-11-28 17:13:35
51,Mataura,-46.1927,168.8643,39.21800000000002,98,76,0.64,broken clouds,NZ,2021-11-28 17:13:35
52,Port Alfred,-33.5906,26.891,67.31599999999997,79,27,2.05,scattered clouds,ZA,2021-11-28 17:13:36
53,Padang,-0.9492,100.3543,77.95400000000001,83,87,0.67,overcast clouds,ID,2021-11-28 17:13:36
54,Berlevag,70.8578,29.0864,12.199999999999932,87,39,7.11,scattered clouds,NO,2021-11-28 17:13:37
55,Albany,42.6001,-73.9662,32.64799999999997,75,100,2.24,overcast clouds,US,2021-11-28 17:09:34
56,Clyde River,70.4692,-68.5914,-1.9660000000000082,84,100,5.14,overcast clouds,CA,2021-11-28 17:13:37
57,Dikson,73.5069,80.5464,-15.340000000000032,100,100,5.43,overcast clouds,RU,2021-11-28 17:13:38
58,Ambanja,-13.6833,48.45,76.94599999999997,89,100,0.54,moderate rain,MG,2021-11-28 17:13:38
59,Airai,-8.9266,125.4092,62.113999999999976,91,99,0.33,overcast clouds,TL,2021-11-28 17:13:39
60,Sambava,-14.2667,50.1667,77.12600000000003,84,77,2.99,moderate rain,MG,2021-11-28 17:13:39
61,Los Llanos De Aridane,28.6585,-17.9182,62.34800000000001,77,75,8.23,broken clouds,ES,2021-11-28 17:13:39
62,Punta Arenas,-53.15,-70.9167,55.50799999999998,50,40,15.43,scattered clouds,CL,2021-11-28 17:13:40
63,Te Anau,-45.4167,167.7167,41.18000000000001,86,63,0.37,broken clouds,NZ,2021-11-28 17:13:40
64,Vaini,-21.2,-175.2,75.36200000000002,83,20,3.6,few clouds,TO,2021-11-28 17:13:40
65,Kahului,20.8947,-156.47,70.86200000000002,88,20,3.09,few clouds,US,2021-11-28 17:13:41
66,Watsa,3.0372,29.5355,65.38999999999993,96,91,1.55,moderate rain,CD,2021-11-28 17:13:41
67,Portland,45.5234,-122.6762,58.98200000000003,91,75,1.54,broken clouds,US,2021-11-28 17:12:35
68,Leningradskiy,69.3833,178.4167,-21.226,93,38,4.98,scattered clouds,RU,2021-11-28 17:13:42
69,Tiksi,71.6872,128.8694,-12.334000000000003,98,100,2.87,overcast clouds,RU,2021-11-28 17:13:43
70,Meiganga,6.5167,14.3,76.06400000000002,25,99,1.31,overcast clouds,CM,2021-11-28 17:13:43
71,Narsaq,60.9167,-46.05,37.615999999999985,99,100,2.11,moderate rain,GL,2021-11-28 17:13:43
72,Nuuk,64.1835,-51.7216,38.012,93,90,2.06,fog,GL,2021-11-28 17:13:44
73,Plouzane,48.3833,-4.6167,43.12399999999997,93,75,1.03,broken clouds,FR,2021-11-28 17:13:44
74,Lebu,-37.6167,-73.65,57.991999999999905,62,0,8.3,clear sky,CL,2021-11-28 17:13:45
75,Saint Augustine,29.8947,-81.3145,64.39999999999992,36,1,3.09,clear sky,US,2021-11-28 17:09:07
